ID,Gender,Race,Ethnicity,Age,Income
172878,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.333333333333336,900.0
173408,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),34.0,100.0
173477,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),67.0,1200.0
173479,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),59.0,2136.0
173498,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0,1244.5
173737,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.4,480.0
174737,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.0,760.0
174801,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),59.0,800.0
174821,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0,1002.0
174922,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0,721.0
175198,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.0,1379.0
175495,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.5,1000.0
175551,Male,Native Hawaiian or Other Pacific Islander (HUD),Hispanic/Latino (HUD),54.0,1160.0
175906,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0,1300.0
176430,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),24.0,700.0
176580,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.25,1600.0
176973,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,1049.0
177186,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.0,1200.0
177187,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),55.666666666666664,885.0
177232,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0,650.0
177392,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,771.0
177647,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),62.5,1200.0
178324,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),54.333333333333336,730.0
178445,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0,700.0
178516,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.5,400.0
178701,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.333333333333336,707.0
178760,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),77.0,1400.0
179356,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),42.0,912.5
179707,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),35.0,733.0
179960,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,700.0
179965,Male,White (HUD),Hispanic/Latino (HUD),48.5,1200.0
180107,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),69.0,984.73
180564,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),22.0,400.0
180890,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0,884.0
181293,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0,2000.0
181716,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),62.0,747.0
182504,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,613.0
183537,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.3,300.0
183775,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),39.5,1960.0
184122,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),46.0,1098.0
184123,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),24.0,270.0
184306,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0,672.0
184737,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),26.5,900.0
184832,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),66.85714285714286,1022.0
184846,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,1200.0
185069,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),41.666666666666664,400.0
185474,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),40.0,700.0
185515,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),44.666666666666664,1211.111111111111
186593,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.166666666666664,800.0
187276,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.75,733.0
188182,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0,1300.0
189093,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0,634.5
189102,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),58.0,1000.0
189803,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),44.6,732.0
190363,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),53.0,1500.0
190642,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),68.0,476.0
190705,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.0,962.5
191565,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,771.0
191960,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),61.5,1037.0
192021,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),45.0,710.0
192056,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.0,733.0
192790,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.666666666666664,2000.0
192832,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.0,3000.0
193575,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),53.0,1600.0
194645,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),52.0,385.5
194712,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),53.0,1300.0
194795,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),31.8,600.0
194903,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),33.666666666666664,810.0
194922,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),77.0,805.0
195489,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),42.55555555555556,1100.0
